@relation CombinePD-CO

@attribute Total_Left numeric
@attribute Total_Right numeric
@attribute PD-Yes-Control-No {Yes,No}

@data
309.32,491.7,Yes
294.47,499.4,Yes
278.3,515.9,Yes
262.24,523.82,Yes
237.82,534.93,Yes
214.83,553.19,Yes
186.67,566.28,Yes
156.75,588.06,Yes
124.85,594,Yes
104.06,617.87,Yes
81.95,627.66,Yes
67.21,643.72,Yes
62.81,647.13,Yes
46.53,666.16,Yes
33.33,675.84,Yes
20.13,678.15,Yes
2.53,687.94,Yes
2.53,693.44,Yes
2.53,701.91,Yes
0,707.52,Yes
2.53,715.44,Yes
0,720.72,Yes
0,722.15,Yes
0,727.54,Yes
0,729.19,Yes
0,726.11,Yes
0,727.54,Yes
0,724.46,Yes
0,725.56,Yes
0,722.48,Yes
0,722.15,Yes
0,717.86,Yes
0,715.11,Yes
0,719.29,Yes
0,715,Yes
0,719.29,Yes
0,716.87,Yes
0,721.27,Yes
13.2,721.27,Yes
19.36,725.12,Yes
24.2,722.92,Yes
18.59,720.83,Yes
18.81,718.96,Yes
41.91,715.99,Yes
73.59,716.54,Yes
138.82,711.92,Yes
143.11,700.92,Yes
119.13,688.27,Yes
126.17,672.87,Yes
132.99,663.52,Yes
146.3,649.33,Yes
171.05,637.34,Yes
199.21,616.44,Yes
228.25,589.27,Yes
255.97,562.98,Yes
287.98,540.32,Yes
307.34,506,Yes
326.81,479.05,Yes
353.1,447.48,Yes
368.28,422.62,Yes
389.95,388.96,Yes
405.35,351.67,Yes
423.61,319.55,Yes
437.47,282.81,Yes
451.88,241.56,Yes
465.52,209.66,Yes
477.4,183.59,Yes
494.89,166.43,Yes
510.51,148.28,Yes
522.17,140.91,Yes
536.91,130.79,Yes
553.52,111.65,Yes
568.04,97.13,Yes
577.39,75.9,Yes
589.6,66.33,Yes
604.45,59.4,Yes
613.58,53.57,Yes
627.66,47.19,Yes
635.25,43.34,Yes
641.63,32.67,Yes
650.98,24.97,Yes
665.5,15.29,Yes
667.04,5.72,Yes
673.53,0,Yes
674.96,0,Yes
681.12,0,Yes
680.57,0,Yes
689.26,0,Yes
689.26,0,Yes
690.91,0,Yes
689.15,0,Yes
685.41,0,Yes
687.61,0,Yes
683.87,0,Yes
682.33,0,Yes
680.57,0,Yes
680.57,0,Yes
680.68,0,Yes
676.06,0,Yes
679.03,0,Yes
680.57,0,Yes
686.07,0,Yes
683.1,0,Yes
684.86,0,Yes
683.21,0,Yes
693.22,0,Yes
691.68,0,Yes
693.44,0,Yes
697.18,0,Yes
697.18,0,Yes
698.39,0,Yes
705.32,21.67,Yes
698.28,25.41,Yes
690.91,30.14,Yes
683.54,32.45,Yes
678.59,41.14,Yes
669.35,47.41,Yes
664.95,56.76,Yes
655.93,72.93,Yes
643.39,91.96,Yes
630.74,130.46,Yes
609.29,179.19,Yes
590.7,225.17,Yes
563.75,277.31,Yes
536.25,318.34,Yes
509.3,345.84,Yes
479.38,378.62,Yes
447.15,401.61,Yes
418,429.66,Yes
388.41,454.74,Yes
362.23,477.51,Yes
333.63,495.99,Yes
305.91,514.8,Yes
279.62,532.4,Yes
252.45,540.87,Yes
229.02,556.05,Yes
203.61,560.12,Yes
192.83,568.26,Yes
182.49,570.57,Yes
176.44,582.89,Yes
167.86,585.2,Yes
158.29,595.98,Yes
138.05,595.98,Yes
120.01,606.65,Yes
81.95,613.36,Yes
61.71,626.45,Yes
46.53,637.78,Yes
42.13,648.78,Yes
37.73,654.94,Yes
35.2,663.08,Yes
30.8,670.67,Yes
22,683.87,Yes
13.2,688.05,Yes
0,691.46,Yes
0,700.92,Yes
0,708.95,Yes
0,714.12,Yes
0,719.84,Yes
0,726.88,Yes
0,734.8,Yes
0,740.52,Yes
0,740.41,Yes
0,746.24,Yes
0,750.64,Yes
0,747.23,Yes
0,749.54,Yes
0,750.2,Yes
0,750.31,Yes
0,745.8,Yes
0,745.69,Yes
0,743.05,Yes
0,743.16,Yes
0,746.13,Yes
0,742.83,Yes
0,746.02,Yes
0,747.89,Yes
0,750.97,Yes
0,756.58,Yes
0,760.54,Yes
0,762.52,Yes
0,764.72,Yes
0,767.91,Yes
0,765.71,Yes
0,769.78,Yes
0,768.68,Yes
0,770.77,Yes
0,769.67,Yes
0,768.46,Yes
5.06,773.19,Yes
5.06,768.68,Yes
5.06,770.44,Yes
0,763.84,Yes
0,765.93,Yes
0,760.98,Yes
0,760.54,Yes
0,757.35,Yes
0,750.75,Yes
0,742.72,Yes
5.06,740.85,Yes
7.59,732.49,Yes
15.18,721.49,Yes
22.99,712.14,Yes
53.46,707.08,Yes
111.54,695.75,Yes
129.47,684.53,Yes
151.58,669.13,Yes
179.19,646.69,Yes
207.13,626.56,Yes
221.76,602.47,Yes
242,578.71,Yes
263.01,545.93,Yes
287.43,507.76,Yes
309.98,456.61,Yes
335.5,421.85,Yes
357.39,378.84,Yes
379.39,348.37,Yes
396.11,294.14,Yes
414.81,257.07,Yes
435.49,233.64,Yes
457.05,227.7,Yes
475.97,217.58,Yes
488.73,200.53,Yes
504.9,174.13,Yes
521.4,141.13,Yes
535.26,118.14,Yes
548.9,101.86,Yes
560.01,90.42,Yes
569.14,78.76,Yes
577.17,67.43,Yes
590.48,48.73,Yes
607.75,30.69,Yes
614.13,15.29,Yes
626.89,7.59,Yes
628.54,3.74,Yes
638.22,0,Yes
646.69,0,Yes
657.25,0,Yes
664.95,0,Yes
666.49,0,Yes
667.81,0,Yes
680.46,0,Yes
677.6,0,Yes
683.65,0,Yes
681.23,0,Yes
688.16,0,Yes
683.32,0,Yes
679.58,0,Yes
681.23,0,Yes
681.23,0,Yes
677.82,0,Yes
679.36,0,Yes
679.36,0,Yes
679.36,0,Yes
676.17,0,Yes
679.36,0,Yes
681.01,0,Yes
681.01,0,Yes
684.09,0,Yes
689.26,0,Yes
689.26,0,Yes
693.88,0,Yes
693.88,0,Yes
692.78,0,Yes
692.78,0,Yes
700.04,0,Yes
695.42,0,Yes
695.75,0,Yes
698.83,0,Yes
704,0,Yes
699.82,0,Yes
701.25,4.62,Yes
693.77,0,Yes
693.33,0,Yes
691.35,0,Yes
698.28,0,Yes
690.8,0,Yes
688.38,0,Yes
691.57,6.93,Yes
690.47,16.17,Yes
690.8,27.72,Yes
681.23,42.57,Yes
685.74,66.44,Yes
673.09,92.84,Yes
661.87,121.77,Yes
652.96,161.26,Yes
634.37,185.24,Yes
618.42,207.02,Yes
596.53,230.23,Yes
576.18,256.63,Yes
551.87,280.61,Yes
528.55,307.01,Yes
505.12,337.48,Yes
475.31,359.7,Yes
449.35,380.6,Yes
420.09,400.29,Yes
388.74,416.35,Yes
367.07,432.74,Yes
332.97,444.4,Yes
301.73,455.4,Yes
285.34,470.03,Yes
268.51,488.07,Yes
247.83,501.16,Yes
219.89,515.35,Yes
190.41,533.61,Yes
157.63,552.42,Yes
124.85,572.55,Yes
96.47,588.94,Yes
80.63,608.19,Yes
65.89,624.58,Yes
50.93,637.23,Yes
37.73,652.52,Yes
28.93,664.4,Yes
13.2,673.42,Yes
0,691.02,Yes
0,697.51,Yes
0,702.9,Yes
0,710.27,Yes
0,721.71,Yes
0,719.95,Yes
0,730.84,Yes
0,735.57,Yes
0,735.35,Yes
0,740.52,Yes
0,737.88,Yes
0,734.25,Yes
0,737.22,Yes
0,738.32,Yes
0,739.64,Yes
0,748.33,Yes
0,753.17,Yes
0,758.12,Yes
0,758.01,Yes
0,765.27,Yes
0,762.63,Yes
0,764.61,Yes
0,765.6,Yes
0,762.96,Yes
0,764.94,Yes
0,762.74,Yes
0,761.64,Yes
0,759.44,Yes
0,762.52,Yes
0,762.63,Yes
0,768.35,Yes
0,771.1,Yes
0,774.51,Yes
0,773.52,Yes
0,779.24,Yes
0,779.68,Yes
0,780.45,Yes
0,781.22,Yes
0,777.48,Yes
0,775.61,Yes
0,771.76,Yes
0,773.3,Yes
0,769.12,Yes
0,766.15,Yes
0,765.16,Yes
0,761.2,Yes
5.06,758.78,Yes
5.06,763.07,Yes
7.59,763.95,Yes
12.87,763.73,Yes
18.15,762.63,Yes
32.78,756.69,Yes
46.75,753.61,Yes
72.49,747.78,Yes
81.29,741.29,Yes
112.75,728.53,Yes
130.68,711.7,Yes
143.22,694.65,Yes
156.97,673.42,Yes
169.51,652.85,Yes
193.49,637.12,Yes
213.51,609.62,Yes
232.98,581.57,Yes
253.11,551.87,Yes
268.51,524.48,Yes
285.23,493.02,Yes
298.54,464.64,Yes
315.26,419.1,Yes
327.91,380.38,Yes
350.57,339.13,Yes
365.97,308.77,Yes
375.1,276.32,Yes
389.07,231.99,Yes
399.08,214.17,Yes
413.16,207.24,Yes
422.95,203.72,Yes
437.14,193.82,Yes
450.23,181.83,Yes
465.74,165.11,Yes
476.74,138.82,Yes
486.97,115.61,Yes
505.78,101.75,Yes
525.14,92.62,Yes
536.69,78.54,Yes
544.83,71.72,Yes
556.27,59.07,Yes
573.87,47.52,Yes
577.17,31.35,Yes
591.69,13.42,Yes
596.64,5.72,Yes
602.03,0,Yes
605.22,0,Yes
605.66,0,Yes
607.31,0,Yes
605.66,0,Yes
609.4,0,Yes
606.1,0,Yes
606.1,0,Yes
606.32,0,Yes
606.87,0,Yes
606.87,0,Yes
602.03,0,Yes
605.77,0,Yes
605.88,0,Yes
608.74,0,Yes
605.44,0,Yes
606.98,0,Yes
616.44,0,Yes
615.12,0,Yes
615.89,0,Yes
620.95,0,Yes
621.94,0,Yes
627,0,Yes
629.53,0,Yes
634.59,0,Yes
642.07,0,Yes
645.15,0,Yes
650.43,0,Yes
659.45,0,Yes
662.97,0,Yes
659.78,0,Yes
663.3,0,Yes
672.76,0,Yes
674.19,0,Yes
677.71,0,Yes
689.81,0,Yes
693.33,0,Yes
694.1,0,Yes
708.07,0,Yes
708.51,0,Yes
705.98,0,Yes
709.61,0,Yes
709.94,0,Yes
708.51,0,Yes
704.33,0,Yes
695.86,0,Yes
692.34,0,Yes
688.93,0,Yes
681.56,4.62,Yes
667.81,13.86,Yes
653.4,27.72,Yes
637.45,44,Yes
632.94,71.17,Yes
617.1,115.17,Yes
610.39,153.56,Yes
592.57,180.18,Yes
577.28,199.43,Yes
558.14,223.3,Yes
549.45,244.97,Yes
531.08,263.56,Yes
515.02,288.53,Yes
486.09,306.13,Yes
444.07,326.26,Yes
423.83,342.87,Yes
404.8,350.79,Yes
381.37,364.32,Yes
348.37,372.02,Yes
304.37,386.32,Yes
252.34,397.98,Yes
202.73,414.26,Yes
156.31,430.87,Yes
138.71,444.18,Yes
130.68,474.98,Yes
119.13,494.01,Yes
98.45,519.97,Yes
82.5,544.94,Yes
62.26,575.41,Yes
30.8,599.28,Yes
17.6,623.26,Yes
8.8,642.62,Yes
0,660.11,Yes
0,682.22,Yes
0,700.59,Yes
0,709.61,Yes
0,720.06,Yes
0,731.17,Yes
0,740.3,Yes
0,744.04,Yes
0,744.59,Yes
0,747.45,Yes
0,744.81,Yes
0,740.63,Yes
0,740.41,Yes
0,732.49,Yes
0,730.62,Yes
0,728.31,Yes
0,723.03,Yes
0,728.2,Yes
0,726.44,Yes
0,728.75,Yes
0,729.52,Yes
0,733.81,Yes
0,732.82,Yes
0,740.52,Yes
0,743.49,Yes
0,747.34,Yes
0,752.62,Yes
0,754.38,Yes
0,759,Yes
0,759,Yes
0,759.11,Yes
0,765.82,Yes
0,760.65,Yes
0,764.17,Yes
0,770.33,Yes
0,765.82,Yes
0,770.33,Yes
0,772.53,Yes
0,769.01,Yes
0,771.54,Yes
0,770.33,Yes
0,772.64,Yes
0,774.18,Yes
0,767.14,Yes
0,769.01,Yes
0,766.92,Yes
0,765.38,Yes
0,760.65,Yes
0,753.83,Yes
0,751.74,Yes
0,743.16,Yes
5.06,733.48,Yes
10.12,728.42,Yes
17.71,719.73,Yes
28.05,709.94,Yes
47.63,707.08,Yes
95.81,693.88,Yes
131.12,677.6,Yes
156.2,658.13,Yes
169.4,638.66,Yes
179.08,614.02,Yes
185.57,582.34,Yes
199.65,541.31,Yes
213.84,502.15,Yes
235.07,462,Yes
249.48,431.97,Yes
262.24,405.24,Yes
277.2,378.29,Yes
297.55,337.92,Yes
310.2,311.41,Yes
328.57,291.39,Yes
342.43,282.48,Yes
365.31,275.11,Yes
383.24,264.66,Yes
395.56,249.59,Yes
415.36,232.65,Yes
428.23,213.51,Yes
438.02,183.7,Yes
449.9,163.24,Yes
469.26,153.78,Yes
481.69,147.18,Yes
496.21,133.65,Yes
509.52,122.21,Yes
531.3,104.06,Yes
542.63,81.07,Yes
561.77,59.4,Yes
575.52,32.67,Yes
588.61,22.99,Yes
607.75,17.27,Yes
622.05,13.42,Yes
628.98,7.59,Yes
648.56,3.74,Yes
656.92,0,Yes
663.52,0,Yes
676.06,0,Yes
678.15,0,Yes
680.79,0,Yes
679.25,0,Yes
678.48,0,Yes
680.46,0,Yes
686.18,0,Yes
684.53,0,Yes
680.46,0,Yes
680.02,0,Yes
683.76,0,Yes
685.08,0,Yes
683.32,0,Yes
686.29,0,Yes
683.43,0,Yes
684.75,0,Yes
684.75,0,Yes
684.75,0,Yes
685.63,0,Yes
683.1,0,Yes
687.61,0,Yes
682.77,0,Yes
689.04,0,Yes
691.46,0,Yes
687.06,0,Yes
688.93,0,Yes
691.79,0,Yes
690.58,0,Yes
698.94,0,Yes
694.65,0,Yes
700.37,6.93,Yes
694.54,6.93,Yes
697.84,4.62,Yes
697.95,4.62,Yes
693.22,4.62,Yes
691.79,6.93,Yes
687.61,9.24,Yes
683.65,16.17,Yes
677.93,25.41,Yes
669.79,41.69,Yes
666.38,66.66,Yes
646.91,96.8,Yes
638.55,123.97,Yes
626.23,165.88,Yes
613.69,194.92,Yes
597.41,212.63,Yes
587.95,228.8,Yes
564.41,249.15,Yes
545.38,263.23,Yes
525.58,283.69,Yes
498.74,304.37,Yes
478.28,322.41,Yes
448.8,339.24,Yes
424.93,357.83,Yes
403.04,375.32,Yes
381.15,387.2,Yes
361.35,410.63,Yes
332.53,423.72,Yes
295.24,444.62,Yes
255.86,464.42,Yes
213.4,489.61,Yes
168.85,505.34,Yes
131.67,524.59,Yes
103.29,546.04,Yes
98.01,559.24,Yes
87.78,579.04,Yes
77.22,591.36,Yes
62.26,611.82,Yes
45.98,618.86,Yes
22,631.07,Yes
8.8,650.65,Yes
0,665.28,Yes
0,678.04,Yes
0,686.51,Yes
0,700.15,Yes
0,719.84,Yes
0,724.79,Yes
0,726.22,Yes
0,728.75,Yes
0,738.54,Yes
0,738.32,Yes
0,741.29,Yes
0,738.65,Yes
0,732.6,Yes
0,735.57,Yes
0,730.51,Yes
0,735.35,Yes
0,736.45,Yes
0,738.65,Yes
0,738.32,Yes
0,744.59,Yes
0,741.29,Yes
0,749.98,Yes
0,744.48,Yes
0,745.69,Yes
0,745.36,Yes
0,746.02,Yes
0,743.27,Yes
0,749.1,Yes
0,747.78,Yes
0,748.33,Yes
0,752.29,Yes
0,753.06,Yes
0,753.72,Yes
0,759.44,Yes
0,765.16,Yes
0,764.61,Yes
0,763.62,Yes
0,759.55,Yes
0,759.77,Yes
0,755.92,Yes
0,753.39,Yes
0,745.25,Yes
0,737.66,Yes
0,728.31,Yes
0,722.59,Yes
0,711.92,Yes
0,706.31,Yes
7.59,700.81,Yes
15.18,689.48,Yes
22.77,682.66,Yes
37.07,670.01,Yes
71.61,654.17,Yes
130.68,635.14,Yes
189.2,625.9,Yes
224.07,597.63,Yes
245.08,575.3,Yes
270.16,535.59,Yes
302.72,490.16,Yes
323.95,444.29,Yes
346.17,411.07,Yes
366.19,367.73,Yes
380.93,330.77,Yes
394.35,280.72,Yes
401.28,252.01,Yes
412.39,241.12,Yes
421.52,235.62,Yes
429.66,230.23,Yes
436.59,213.4,Yes
449.35,194.26,Yes
471.13,170.83,Yes
481.47,147.73,Yes
494.01,129.47,Yes
507.54,120.01,Yes
522.17,117.81,Yes
527.78,108.46,Yes
539.44,99.33,Yes
554.29,80.74,Yes
559.79,58.3,Yes
573.54,42.9,Yes
587.62,22.99,Yes
601.26,13.42,Yes
609.51,9.57,Yes
625.35,5.72,Yes
633.49,0,Yes
638.77,0,Yes
648.34,0,Yes
658.02,0,Yes
661.54,0,Yes
667.48,0,Yes
665.83,0,Yes
664.07,0,Yes
659.12,0,Yes
664.18,0,Yes
664.07,0,Yes
662.53,0,Yes
662.53,0,Yes
662.53,0,Yes
664.4,0,Yes
668.8,0,Yes
664.07,0,Yes
666.93,0,Yes
668.58,0,Yes
669.68,0,Yes
671.22,0,Yes
672.76,0,Yes
677.16,0,Yes
672.76,0,Yes
674.41,0,Yes
678.92,0,Yes
678.92,0,Yes
688.38,0,Yes
685.19,0,Yes
687.94,0,Yes
689.48,0,Yes
691.79,0,Yes
683.98,0,Yes
693.77,0,Yes
694.76,0,Yes
691.68,9.24,Yes
692.34,6.93,Yes
693.99,9.24,Yes
687.72,11.55,Yes
686.18,13.86,Yes
684.42,20.79,Yes
684.09,30.14,Yes
676.06,43.45,Yes
668.25,68.31,Yes
653.84,107.36,Yes
646.47,152.13,Yes
625.35,192.61,Yes
606.76,209.99,Yes
577.61,229.9,Yes
551.54,249.81,Yes
528.77,278.63,Yes
504.02,300.41,Yes
477.07,333.96,Yes
453.86,359.92,Yes
420.53,372.13,Yes
396.22,392.59,Yes
367.4,403.04,Yes
348.15,415.03,Yes
318.78,426.03,Yes
301.4,434.72,Yes
296.01,441.54,Yes
284.24,446.16,Yes
275,458.59,Yes
256.85,465.63,Yes
237.27,475.64,Yes
203.5,492.14,Yes
176.33,504.46,Yes
144.76,513.37,Yes
110.88,533.72,Yes
97.13,554.4,Yes
82.5,572.11,Yes
77.22,585.2,Yes
68.86,603.13,Yes
48.4,617.32,Yes
39.6,631.4,Yes
26.4,640.31,Yes
13.2,655.93,Yes
0,663.74,Yes
0,671.44,Yes
0,676.06,Yes
0,684.64,Yes
0,696.85,Yes
0,702.68,Yes
0,710.71,Yes
0,714.12,Yes
0,714.12,Yes
0,716.43,Yes
0,714.67,Yes
0,712.36,Yes
0,715.11,Yes
0,718.41,Yes
0,710.93,Yes
0,716.32,Yes
0,708.73,Yes
0,707.3,Yes
0,703.12,Yes
0,705.1,Yes
0,708.95,Yes
0,714.12,Yes
0,714.12,Yes
0,717.97,Yes
8.8,717.97,Yes
22,720.83,Yes
22,717.97,Yes
26.84,724.35,Yes
31.9,722.92,Yes
30.69,726.88,Yes
17.71,729.3,Yes
22.11,730.4,Yes
38.83,731.39,Yes
54.89,728.64,Yes
69.3,728.09,Yes
68.42,727.87,Yes
74.58,715,Yes
76.67,708.4,Yes
86.13,701.25,Yes
97.57,692.23,Yes
116.38,688.16,Yes
132.22,671.33,Yes
166.1,654.94,Yes
190.41,638.77,Yes
218.57,626.56,Yes
243.21,605.22,Yes
264.99,579.92,Yes
283.91,555.72,Yes
308.77,528,Yes
333.63,506.66,Yes
351.45,474.87,Yes
368.5,446.38,Yes
380.05,412.39,Yes
392.48,389.51,Yes
407,358.6,Yes
419.98,330,Yes
432.96,299.86,Yes
444.4,268.51,Yes
453.86,234.41,Yes
457.27,201.41,Yes
462.77,174.79,Yes
471.35,156.09,Yes
481.14,151.25,Yes
489.72,142.67,Yes
501.93,134.75,Yes
514.58,124.85,Yes
521.4,108.13,Yes
538.56,88.88,Yes
549.34,72.27,Yes
560.67,65.23,Yes
578.38,60.72,Yes
588.61,49.94,Yes
600.05,44.22,Yes
613.47,36.52,Yes
628.98,24.97,Yes
639.98,13.42,Yes
650.98,3.74,Yes
668.69,0,Yes
673.86,0,Yes
683.54,0,Yes
693,0,Yes
694.1,0,Yes
697.4,0,Yes
697.4,0,Yes
701.47,0,Yes
698.17,0,Yes
704.77,0,Yes
695.53,0,Yes
698.28,0,Yes
696.19,0,Yes
693,0,Yes
693.22,0,Yes
698.39,0,Yes
693.99,0,Yes
690.69,0,Yes
694.1,0,Yes
698.94,0,Yes
705.65,0,Yes
704.33,0,Yes
703.78,0,Yes
702.79,0,Yes
711.26,0,Yes
707.08,0,Yes
708.51,0,Yes
708.51,14.08,Yes
705.65,36.63,Yes
702.57,44.33,Yes
697.95,45.54,Yes
689.26,47.85,Yes
681.23,47.85,Yes
671.99,47.85,Yes
661.1,52.14,Yes
652.85,65.23,Yes
638,84.04,Yes
627.88,133.1,Yes
617.1,167.75,Yes
602.03,191.07,Yes
582.34,216.26,Yes
565.07,242,Yes
544.94,260.81,Yes
524.04,281.82,Yes
506.66,303.16,Yes
480.92,327.47,Yes
457.38,351.12,Yes
432.74,379.17,Yes
414.15,398.53,Yes
380.05,419.87,Yes
350.46,439.45,Yes
328.24,451,Yes
309.54,464.75,Yes
291.72,480.92,Yes
273.46,496.87,Yes
245.52,511.28,Yes
215.16,525.03,Yes
176.88,539.22,Yes
144.98,557.59,Yes
101.31,572,Yes
85.69,588.39,Yes
75.13,602.91,Yes
71.94,619.85,Yes
66.66,631.51,Yes
51.48,646.25,Yes
41.58,659.78,Yes
22,671.88,Yes
8.8,681.34,Yes
0,691.79,Yes
0,696.08,Yes
0,709.17,Yes
0,714.67,Yes
0,722.7,Yes
0,725.67,Yes
0,728.2,Yes
0,732.49,Yes
0,735.02,Yes
0,728.53,Yes
0,737.11,Yes
0,737.88,Yes
0,737.88,Yes
0,736.67,Yes
0,734.47,Yes
0,740.63,Yes
0,740.52,Yes
0,741.62,Yes
0,736.89,Yes
0,735.02,Yes
0,737.99,Yes
0,735.35,Yes
0,736.56,Yes
0,737.11,Yes
0,734.8,Yes
0,738.21,Yes
0,740.41,Yes
0,740.96,Yes
0,745.36,Yes
0,740.96,Yes
0,745.8,Yes
0,749.54,Yes
0,745.91,Yes
0,743.82,Yes
7.59,752.29,Yes
7.59,750.97,Yes
7.59,751.85,Yes
7.59,747.45,Yes
7.59,745.36,Yes
7.59,742.06,Yes
10.12,736.12,Yes
10.12,727.54,Yes
12.65,724.35,Yes
17.71,718.96,Yes
22.77,710.93,Yes
34.43,700.04,Yes
58.3,688.27,Yes
102.3,679.36,Yes
140.91,660.44,Yes
172.04,640.64,Yes
192.39,620.51,Yes
202.73,590.26,Yes
218.13,566.28,Yes
228.58,539.66,Yes
247.28,509.52,Yes
270.16,470.14,Yes
282.81,436.15,Yes
294.69,399.52,Yes
307.01,367.84,Yes
316.47,342.54,Yes
327.25,316.58,Yes
341.22,281.27,Yes
352.66,249.37,Yes
366.41,220.22,Yes
380.38,211.53,Yes
398.75,207.57,Yes
417.34,209.22,Yes
425.26,201.63,Yes
437.91,196.24,Yes
456.28,181.72,Yes
470.58,169.62,Yes
486.42,150.48,Yes
500.61,127.16,Yes
517.55,113.52,Yes
530.31,97.24,Yes
543.4,90.42,Yes
555.17,83.38,Yes
568.26,76.56,Yes
576.29,62.92,Yes
588.94,48.07,Yes
598.95,36.52,Yes
608.41,24.97,Yes
613.14,11.44,Yes
618.42,5.72,Yes
623.04,3.74,Yes
629.53,0,Yes
639.1,0,Yes
640.64,0,Yes
645.37,0,Yes
645.15,0,Yes
647.35,0,Yes
648.78,0,Yes
650.98,0,Yes
647.79,0,Yes
657.47,0,Yes
653.07,0,Yes
662.2,0,Yes
667.48,0,Yes
670.56,0,Yes
669.02,0,Yes
675.4,0,Yes
675.29,0,Yes
682.11,0,Yes
678.7,0,Yes
683.21,0,Yes
682.11,0,Yes
688.05,0,Yes
690.58,0,Yes
692.23,0,Yes
693.99,0,Yes
698.5,0,Yes
704.77,0,Yes
705.1,0,Yes
702.13,0,Yes
700.37,18.48,Yes
703.34,23.1,Yes
699.27,25.41,Yes
696.3,30.14,Yes
694.32,30.14,Yes
686.73,35.64,Yes
684.09,35.64,Yes
681.56,45.1,Yes
678.81,52.14,Yes
671.77,66.44,Yes
662.31,81.51,Yes
659.78,118.8,Yes
645.59,142.78,Yes
634.81,165.88,Yes
620.4,182.16,Yes
599.72,205.59,Yes
585.64,233.31,Yes
562.21,257.18,Yes
536.58,276.65,Yes
512.27,300.52,Yes
485.1,315.48,Yes
467.72,332.75,Yes
442.09,346.28,Yes
422.51,364.98,Yes
392.15,374.66,Yes
360.69,391.05,Yes
336.6,400.18,Yes
308.11,418.77,Yes
286.77,428.12,Yes
249.04,439.89,Yes
235.29,456.83,Yes
228.25,468.05,Yes
218.46,482.02,Yes
206.03,498.19,Yes
192.28,513.92,Yes
172.26,520.96,Yes
147.84,538.34,Yes
117.04,549.56,Yes
86.46,560.45,Yes
62.26,571.89,Yes
57.86,587.51,Yes
44,604.34,Yes
39.6,618.09,Yes
30.8,638.99,Yes
22,651.42,Yes
8.8,662.97,Yes
0,676.94,Yes
0,683.76,Yes
0,695.64,Yes
0,695.2,Yes
0,702.35,Yes
0,708.18,Yes
0,705.43,Yes
0,714.89,Yes
0,715.22,Yes
0,717.09,Yes
0,721.71,Yes
0,724.79,Yes
0,726.33,Yes
0,721.82,Yes
0,727.32,Yes
0,722.04,Yes
0,722.37,Yes
0,719.07,Yes
0,730.18,Yes
0,724.02,Yes
0,722.48,Yes
0,728.2,Yes
0,729.41,Yes
0,737.22,Yes
0,740.3,Yes
0,746.02,Yes
0,752.4,Yes
0,754.93,Yes
0,765.16,Yes
0,766.04,Yes
0,770.99,Yes
0,772.97,Yes
0,771.32,Yes
0,777.48,Yes
0,777.48,Yes
0,771.1,Yes
0,768.79,Yes
0,770.44,Yes
0,766.81,Yes
0,772.42,Yes
0,774.07,Yes
0,771.32,Yes
0,774.4,Yes
0,770.55,Yes
0,765.05,Yes
0,763.84,Yes
0,763.62,Yes
5.06,757.68,Yes
7.59,758.67,Yes
12.65,754.16,Yes
17.93,747.67,Yes
34.76,743.27,Yes
62.81,734.91,Yes
82.17,726.66,Yes
107.36,719.62,Yes
120.67,704.22,Yes
134.09,693.55,Yes
150.59,682.55,Yes
162.47,664.84,Yes
174.9,645.04,Yes
191.29,620.62,Yes
203.28,591.58,Yes
222.53,568.59,Yes
237.6,546.15,Yes
254.43,515.35,Yes
272.8,476.19,Yes
288.86,443.96,Yes
299.64,404.91,Yes
328.57,371.14,Yes
333.63,345.4,Yes
347.93,314.71,Yes
370.92,283.91,Yes
387.86,245.63,Yes
404.69,221.76,Yes
425.04,216.92,Yes
440.77,214.17,Yes
454.3,203.17,Yes
470.14,197.89,Yes
482.9,181.06,Yes
491.04,159.61,Yes
508.42,133.87,Yes
523.93,113.3,Yes
538.89,101.64,Yes
550,92.51,Yes
566.17,83.05,Yes
576.4,71.61,Yes
591.91,58.3,Yes
603.68,42.24,Yes
606.43,30.69,Yes
618.64,17.27,Yes
623.48,7.59,Yes
631.62,3.74,Yes
637.67,0,Yes
637.89,0,Yes
643.94,0,Yes
645.48,0,Yes
649.22,0,Yes
649.22,0,Yes
649.22,0,Yes
647.57,0,Yes
650.76,0,Yes
649.22,0,Yes
649.11,0,Yes
647.57,0,Yes
644.38,0,Yes
649.11,0,Yes
646.03,0,Yes
646.03,0,Yes
652.19,0,Yes
653.84,0,Yes
659.12,0,Yes
659.12,0,Yes
659.12,0,Yes
663.52,0,Yes
670.45,0,Yes
668.8,0,Yes
671.88,0,Yes
673.42,0,Yes
673.42,0,Yes
674.96,0,Yes
674.74,0,Yes
676.28,0,Yes
675.07,0,Yes
680.79,4.62,Yes
680.57,21.67,Yes
675.29,28.6,Yes
673.42,28.6,Yes
666.82,38.06,Yes
670.12,47.52,Yes
665.5,56.98,Yes
662.97,63.36,Yes
661.21,78.43,Yes
651.75,96.58,Yes
651.86,129.03,Yes
639.76,147.62,Yes
624.36,161.15,Yes
619.63,184.58,Yes
600.93,199.32,Yes
585.2,223.19,Yes
570.35,245.52,Yes
551.21,265.43,Yes
527.23,290.18,Yes
503.91,312.29,Yes
479.16,334.18,Yes
455.07,351.56,Yes
444.29,367.18,Yes
419.1,382.14,Yes
393.14,393.58,Yes
373.45,410.52,Yes
350.57,425.04,Yes
